bssid	ssid	firstseen	lastseen	channel	security	minrssi	maxrssi	latitude	longitude	altitude
62:a4:4c:66:59:28	RollaManorWIFI		2014-05-01 18:43:20	6	Yes	-97	-97	37°57'31.5"N	91°46'52.2"W	353.0
00:90:7f:a1:9c:eb	HardeesGuest		2014-05-01 18:41:25	4	OPN	-92	-92	37°57'15.1"N	91°46'40.6"W	342.0
00:24:6c:30:d1:64	MST-WPA-N		2014-05-01 18:43:31	6	Yes	-75	-75	37°57'31.5"N	91°46'47.1"W	355.0
20:0c:c8:01:03:92	Coerver		2014-05-01 18:41:28	1	Yes	-80	-80	37°57'15.1"N	91°46'41.7"W	339.0
08:bd:43:d3:9c:6a	Minas Tirith		2014-05-01 18:37:28	6	Yes	-99	-99	37°57'15.1"N	91°46'39.2"W	345.0
10:60:4b:c5:dc:33	HP-Print-33-Photosmart 7520		2014-05-01 18:34:28	6	Yes	-99	-99	37°57'18.3"N	91°46'46.6"W	344.0
ac:86:74:14:7c:12	OAKNET_WIFI		2014-05-01 18:43:03	8	OPN	-99	-99	37°57'29.9"N	91°46'57.0"W	350.0
00:22:6b:8f:29:b0	stl06		2014-05-01 18:41:43	6	Yes	-90	-90	37°57'15.0"N	91°46'45.4"W	342.0
6c:f3:7f:1e:2a:42	MST-PUBLIC-N		2014-05-01 18:34:31	6	OPN	-90	-90	37°57'18.2"N	91°46'44.7"W	342.0
6c:f3:7f:1e:29:22	MST-PUBLIC-N		2014-05-01 18:41:19	1	OPN	-94	-94	37°57'15.0"N	91°46'38.8"W	344.0
6c:f3:7f:1e:29:a5	&lt;Hidden Network&gt;		2014-05-01 18:34:35	11	Yes	-99	-99	37°57'18.3"N	91°46'42.0"W	342.0
6c:50:4d:3f:a4:69	RTLS1		2014-05-01 18:42:52	1	Yes	-91	-91	37°57'26.0"N	91°46'58.0"W	349.0
20:aa:4b:0d:8f:f7	DQ		2014-05-01 18:37:46	6	Yes	-66	-66	37°57'15.1"N	91°46'39.3"W	345.0
